,carry,ewmac16_64,ewmac32_128,ewmac64_256
1982-07-11,-0.5130511481220875,-3.134870363143208,-2.0576048512849434,-1.3754562524581588
1982-09-05,1.3407055220413482,3.017283387547127,2.4753374921033986,2.030154692356334
1982-05-02,3.1771085549124463,-0.23837622271616077,0.9226360962080222,1.6522462365002253
1981-09-27,,,,
1981-11-15,1.5435586858484147,0.36543871009575357,0.11108206138650263,0.03799580544349322
1981-10-04,,,,
1981-11-22,4.467443325900182,1.9131164456996221,0.7121344431951985,0.28831924514850465
1981-11-29,1.0758024908953254,0.5212721925306508,0.20608816504317706,0.08691543321512785
1981-09-27,,,,
1982-09-26,-0.08662603804063795,0.5344934031157145,0.3602960290308999,0.18246627397298704
1982-04-04,-1.9142322059893835,-0.7928043961395023,-1.2299432195903677,-1.2517166409549403
1982-04-18,-0.1983512321164424,0.042855729171287535,-0.06585826405494552,-0.11888351851287907
1982-02-07,1.4156435994581602,0.3372612565554431,0.9056842603180288,0.8056180977908303
1981-10-04,,,,
1981-11-01,0.6134553581337852,-0.04877706304491132,-0.02697585866246169,-0.014657942575316515
1982-08-08,3.3428725197311393,5.23245666078188,5.333330344217924,5.362539330852188
1982-04-18,-0.1983512321164424,0.042855729171287535,-0.06585826405494552,-0.11888351851287907
1982-09-12,-0.627854615020628,-1.1899978223491237,-1.0872362854780941,-1.0320821713896804
1982-03-21,-1.5490631721098287,-1.1057137246338673,-0.9868095644535404,-0.863582241682242
1982-08-08,3.3428725197311393,5.23245666078188,5.333330344217924,5.362539330852188
1981-12-20,-1.5053301894562552,-1.9565701749378268,-0.9514829957947113,-0.4486053396792186
1982-03-07,3.6600183452019874,1.3953553083431949,1.9355356569459274,1.9594437940667784
1981-10-25,-0.5639522861291887,0.05510426641296264,0.028103683866412574,0.014537927860852028
1982-09-19,-14.180245941264461,-22.650770305092735,-23.108498111118507,-23.698477679563084
1982-04-04,-1.9142322059893835,-0.7928043961395023,-1.2299432195903677,-1.2517166409549403
1982-04-11,0.43744324817878133,0.11916819743104816,0.24007922889763245,0.25806014934128585
1981-12-13,5.411506471395214,5.622897615924338,2.687819089961675,1.2526706177974218
1982-04-18,-0.1983512321164424,0.042855729171287535,-0.06585826405494552,-0.11888351851287907
1982-09-12,-0.627854615020628,-1.1899978223491237,-1.0872362854780941,-1.0320821713896804
1982-03-21,-1.5490631721098287,-1.1057137246338673,-0.9868095644535404,-0.863582241682242
1982-06-06,0.11262292802298032,0.08655025583535939,0.04864003886213432,0.05125270660485671
1982-02-07,1.4156435994581602,0.3372612565554431,0.9056842603180288,0.8056180977908303
1982-06-13,0.5875202986822073,1.3683918289287145,0.9028128663118138,0.6957016587538909
1982-01-03,-0.19116660381766487,-0.24197313338314802,-0.15024544537893156,-0.0794789940791527
1982-02-21,2.152679757277927,0.19114232387664964,1.03970785028519,1.1161612385284294
1981-10-25,-0.5639522861291887,0.05510426641296264,0.028103683866412574,0.014537927860852028
1982-05-30,1.3532063855793732,1.0173291657175978,0.9074062889366832,0.9243366382700277
1982-03-28,-1.2414023069225957,-0.7710768982539726,-0.8524246209660564,-0.7875600889908809
1982-02-21,2.152679757277927,0.19114232387664964,1.03970785028519,1.1161612385284294
1982-05-30,1.3532063855793732,1.0173291657175978,0.9074062889366832,0.9243366382700277
1982-05-16,-0.2832998051879755,-0.14991303692931474,-0.15058391340607474,-0.18283139943235263
1981-12-20,-1.5053301894562552,-1.9565701749378268,-0.9514829957947113,-0.4486053396792186
1982-09-05,1.3407055220413482,3.017283387547127,2.4753374921033986,2.030154692356334
1982-01-24,-1.0406992589153596,-1.1676931355268088,-1.0784440103606034,-0.7149177773661717
1982-01-24,-1.0406992589153596,-1.1676931355268088,-1.0784440103606034,-0.7149177773661717
1982-05-09,1.1685425528311886,0.24975194366184753,0.44233957120704265,0.643753148851503
1982-05-30,1.3532063855793732,1.0173291657175978,0.9074062889366832,0.9243366382700277
1982-06-06,0.11262292802298032,0.08655025583535939,0.04864003886213432,0.05125270660485671
1981-11-22,4.467443325900182,1.9131164456996221,0.7121344431951985,0.28831924514850465
1982-04-25,1.1145482924950536,-0.1090322008879787,0.3954770711674976,0.6195950940306281
1982-05-09,1.1685425528311886,0.24975194366184753,0.44233957120704265,0.643753148851503
1982-04-04,-1.9142322059893835,-0.7928043961395023,-1.2299432195903677,-1.2517166409549403
1982-05-09,1.1685425528311886,0.24975194366184753,0.44233957120704265,0.643753148851503
1982-08-08,3.3428725197311393,5.23245666078188,5.333330344217924,5.362539330852188
1982-03-28,-1.2414023069225957,-0.7710768982539726,-0.8524246209660564,-0.7875600889908809
1982-05-09,1.1685425528311886,0.24975194366184753,0.44233957120704265,0.643753148851503
1981-10-11,0.0,0.0,0.0,0.0
1982-04-04,-1.9142322059893835,-0.7928043961395023,-1.2299432195903677,-1.2517166409549403
1982-01-03,-0.19116660381766487,-0.24197313338314802,-0.15024544537893156,-0.0794789940791527
1982-03-07,3.6600183452019874,1.3953553083431949,1.9355356569459274,1.9594437940667784
1981-10-25,-0.5639522861291887,0.05510426641296264,0.028103683866412574,0.014537927860852028
1982-07-18,2.1996528249597076,2.6986260663172574,2.543294641747042,2.4422974955806556
1982-02-07,1.4156435994581602,0.3372612565554431,0.9056842603180288,0.8056180977908303
1981-12-20,-1.5053301894562552,-1.9565701749378268,-0.9514829957947113,-0.4486053396792186
1981-10-25,-0.5639522861291887,0.05510426641296264,0.028103683866412574,0.014537927860852028
1981-12-13,5.411506471395214,5.622897615924338,2.687819089961675,1.2526706177974218
1981-10-04,,,,
1982-06-13,0.5875202986822073,1.3683918289287145,0.9028128663118138,0.6957016587538909
1982-01-24,-1.0406992589153596,-1.1676931355268088,-1.0784440103606034,-0.7149177773661717
1982-09-19,-14.180245941264461,-22.650770305092735,-23.108498111118507,-23.698477679563084
1982-02-28,-1.1365743948008646,-0.36192994727815614,-0.5736266969643229,-0.5836140615217047
1982-06-06,0.11262292802298032,0.08655025583535939,0.04864003886213432,0.05125270660485671
1982-01-10,0.6618064923134931,0.5898960687191839,0.5478780352006419,0.34416532568218117
1982-04-25,1.1145482924950536,-0.1090322008879787,0.3954770711674976,0.6195950940306281
1982-03-07,3.6600183452019874,1.3953553083431949,1.9355356569459274,1.9594437940667784
1982-06-13,0.5875202986822073,1.3683918289287145,0.9028128663118138,0.6957016587538909
1982-01-17,0.4438402866260455,0.4765926523586662,0.4240317993359308,0.27053827936776365
1982-05-16,-0.2832998051879755,-0.14991303692931474,-0.15058391340607474,-0.18283139943235263
1981-11-15,1.5435586858484147,0.36543871009575357,0.11108206138650263,0.03799580544349322
1982-08-08,3.3428725197311393,5.23245666078188,5.333330344217924,5.362539330852188
1981-12-06,3.4364064796303415,3.3089577096029337,1.4761166688907519,0.6642855866409951
1982-09-12,-0.627854615020628,-1.1899978223491237,-1.0872362854780941,-1.0320821713896804
1982-01-10,0.6618064923134931,0.5898960687191839,0.5478780352006419,0.34416532568218117
1982-02-07,1.4156435994581602,0.3372612565554431,0.9056842603180288,0.8056180977908303
1982-04-11,0.43744324817878133,0.11916819743104816,0.24007922889763245,0.25806014934128585
1982-01-31,-2.74880927235013,-2.287771722201191,-2.5365903011403996,-1.847676601927825
1982-03-14,0.19031418464967276,0.1498751097706667,0.12255081175945359,0.10507332525256136
1982-05-02,3.1771085549124463,-0.23837622271616077,0.9226360962080222,1.6522462365002253
1982-07-25,1.857070438409521,1.3661872982901775,1.717232597157943,1.746056373081136
1982-08-01,0.3639917572928288,2.3604009888488724,2.0360394695800843,1.9564576876351591
1981-11-15,1.5435586858484147,0.36543871009575357,0.11108206138650263,0.03799580544349322
1982-04-25,1.1145482924950536,-0.1090322008879787,0.3954770711674976,0.6195950940306281
1982-04-04,-1.9142322059893835,-0.7928043961395023,-1.2299432195903677,-1.2517166409549403
1981-12-06,3.4364064796303415,3.3089577096029337,1.4761166688907519,0.6642855866409951
1981-12-20,-1.5053301894562552,-1.9565701749378268,-0.9514829957947113,-0.4486053396792186
1982-04-04,-1.9142322059893835,-0.7928043961395023,-1.2299432195903677,-1.2517166409549403
1982-05-09,1.1685425528311886,0.24975194366184753,0.44233957120704265,0.643753148851503
1982-03-07,3.6600183452019874,1.3953553083431949,1.9355356569459274,1.9594437940667784
1981-11-29,1.0758024908953254,0.5212721925306508,0.20608816504317706,0.08691543321512785
1982-03-21,-1.5490631721098287,-1.1057137246338673,-0.9868095644535404,-0.863582241682242
1981-12-20,-1.5053301894562552,-1.9565701749378268,-0.9514829957947113,-0.4486053396792186
1981-12-20,-1.5053301894562552,-1.9565701749378268,-0.9514829957947113,-0.4486053396792186
1981-11-29,1.0758024908953254,0.5212721925306508,0.20608816504317706,0.08691543321512785
1981-11-22,4.467443325900182,1.9131164456996221,0.7121344431951985,0.28831924514850465
